FreeSurfer;BIRN_Title;NN_ID;NN_String
wm-lh-G_cingulate-Main_part;Cingulate gyrus;141;CINGULATE GYRUS
wm-lh-G_cuneus;Cuneus cortex;139;cuneus
wm-lh-G_frontal_inf-Opercular_part;Opercular part of inferior frontal gyrus;69;opercular part of inferior frontal gyrus (H)
wm-lh-G_frontal_inf-Orbital_part;Orbital part of inferior frontal gyrus;70;orbital part of inferior frontal gyrus (H)
wm-lh-G_frontal_inf-Triangular_part;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H)
wm-lh-G_frontal_middle;Middle frontal gyrus;66;middle frontal gyrus
wm-lh-G_frontal_superior;Superior frontal gyrus;65;superior frontal gyrus
wm-lh-G_frontomarginal;Lateral orbital gyrus;74;lateral orbital gyrus
wm-lh-G_insular_long;Insula;93;INSULA
wm-lh-G_insular_short;Insula;93;INSULA
wm-lh-G_and_S_occipital_inferior;Inferior occipital gyrus;138;inferior occipital gyrus (M)
wm-lh-G_occipital_middle;Occipital gyrus;134;occipital gyrus (M)
wm-lh-G_occipital_superior;Superior occipital gyrus;136;superior occipital gyrus (H)
wm-lh-G_occipit-temp_lat-Or_fusiform;Fusiform gyrus;121;fusiform gyrus
wm-lh-G_occipit-temp_med-Lingual_part;Lingual gyrus;140;lingual gyrus
wm-lh-G_occipit-temp_med-Parahippocampal_part;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS
wm-lh-G_orbital;Orbital gyri complex;73;ORBITAL GYRI
wm-lh-G_parietal_inferior-Angular_part;Angular gyrus;91;angular gyrus
wm-lh-G_parietal_inferior-Supramarginal_part;Supramarginal gyrus;90;supramarginal gyrus
wm-lh-G_parietal_superior;Superior parietal cortex;88;superior parietal lobule
wm-lh-G_postcentral;Postcentral gyrus;87;postcentral gyrus
wm-lh-G_precentral;Precentral gyrus;71;precentral gyrus
wm-lh-G_precuneus;Precuneus cortex;92;precuneus
wm-lh-G_rectus;Gyrus rectus;76;gyrus rectus
wm-lh-G_subcallosal;Subcallosal area;260;subcallosal area
wm-lh-G_temporal_inferior;Inferior temporal gyrus;120;inferior temporal gyrus
wm-lh-G_temporal_middle;Middle temporal gyrus;119;middle temporal gyrus
wm-lh-G_temp_sup-Lateral_aspect;Superior temporal gyrus;118;superior temporal gyrus
wm-lh-G_temp_sup-Planum_polare;Superior temporal gyrus;118;superior temporal gyrus
wm-lh-G_temp_sup-Planum_tempolare;Superior temporal gyrus;118;superior temporal gyrus
wm-lh-G_and_S_transverse_frontopolar;Transverse frontopolar gyri complex;962901580;TRANSVERSE FRONTOPOLAR GYRI (H)
wm-lh-Lat_Fissure-ant_sgt-ramus_horizontal;Anterior horizontal limb of lateral sulcus;50;anterior horizontal limb of lateral sulcus (H)
wm-lh-Lat_Fissure-ant_sgt-ramus_vertical;Anterior ascending limb of lateral sulcus;49;anterior ascending limb of lateral sulcus (H)
wm-lh-Pole_temporal;Temporal pole;108;temporal pole
wm-lh-S_central_insula;Insula;93;INSULA
wm-lh-S_frontal_inferior;Inferior frontal sulcus;44;inferior frontal sulcus (H)
wm-lh-S_frontal_middle;Middle frontal sulcus;43;middle frontal sulcus (H)
wm-lh-S_frontal_superior;Superior frontal sulcus;42;superior frontal sulcus (H)
wm-lh-S_occipital_anterior;Inferior temporal sulcus;112;inferior temporal sulcus (H)
wm-lh-S_orbital-H_shapped;Orbital sulcus;61;orbital sulcus (H)
wm-lh-S_orbital_lateral;Lateral orbital sulcus;63;lateral orbital sulcus
wm-lh-S_orbital_medial-Or_olfactory;Olfactory sulcus;60;olfactory sulcus
wm-lh-S_paracentral;Paracentral sulcus;51;paracentral sulcus (H)
wm-lh-S_precentral-Inferior-part;Inferior precentral sulcus;53;inferior precentral sulcus (H)
wm-lh-S_precentral-Superior-part;Superior precentral sulcus;52;superior precentral sulcus
wm-lh-S_subcentral_ant;Anterior subcentral sulcus;54;anterior subcentral sulcus
wm-lh-S_suborbital;Superior rostral sulcus;56;superior rostral sulcus (H)
wm-lh-S_temporal_inferior;Inferior temporal sulcus;112;inferior temporal sulcus (H)
wm-lh-S_temporal_superior;Superior temporal sulcus;111;superior temporal sulcus
wm-lh-S_temporal_transverse;Transverse temporal sulcus;110;transverse temporal sulcus (H)
wm-rh-G_and_S_Insula_ONLY_AVERAGE;Insula;93;INSULA
wm-rh-G_cingulate-Isthmus;Isthmus of cingulate gyrus;145;isthmus of cingulate gyrus
wm-rh-G_cingulate-Main_part;Cingulate gyrus;141;CINGULATE GYRUS
wm-rh-G_cuneus;Cuneus cortex;139;cuneus
wm-rh-G_frontal_inf-Opercular_part;Opercular part of inferior frontal gyrus;69;opercular part of inferior frontal gyrus (H)
wm-rh-G_frontal_inf-Orbital_part;Orbital part of inferior frontal gyrus;70;orbital part of inferior frontal gyrus (H)
wm-rh-G_frontal_inf-Triangular_part;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H)
wm-rh-G_frontal_middle;Middle frontal gyrus;66;middle frontal gyrus
wm-rh-G_frontal_superior;Superior frontal gyrus;65;superior frontal gyrus
wm-rh-G_frontomarginal;Lateral orbital gyrus;74;lateral orbital gyrus
wm-rh-G_insular_long;Insula;93;INSULA
wm-rh-G_insular_short;Insula;93;INSULA
wm-rh-G_and_S_occipital_inferior;Inferior occipital gyrus;138;inferior occipital gyrus (M)
wm-rh-G_occipital_middle;Occipital gyrus;134;occipital gyrus (M)
wm-rh-G_occipital_superior;Superior occipital gyrus;136;superior occipital gyrus (H)
wm-rh-G_occipit-temp_lat-Or_fusiform;Fusiform gyrus;121;fusiform gyrus
wm-rh-G_occipit-temp_med-Lingual_part;Lingual gyrus;140;lingual gyrus
wm-rh-G_occipit-temp_med-Parahippocampal_part;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS
wm-rh-G_orbital;Orbital gyri complex;73;ORBITAL GYRI
wm-rh-G_parietal_inferior-Angular_part;Angular gyrus;91;angular gyrus
wm-rh-G_parietal_inferior-Supramarginal_part;Supramarginal gyrus;90;supramarginal gyrus
wm-rh-G_parietal_superior;Superior parietal cortex;88;superior parietal lobule
wm-rh-G_postcentral;Postcentral gyrus;87;postcentral gyrus
wm-rh-G_precentral;Precentral gyrus;71;precentral gyrus
wm-rh-G_precuneus;Precuneus cortex;92;precuneus
wm-rh-G_rectus;Gyrus rectus;76;gyrus rectus
wm-rh-G_subcallosal;Subcallosal area;260;subcallosal area
wm-rh-G_temporal_inferior;Inferior temporal gyrus;120;inferior temporal gyrus
wm-rh-G_temporal_middle;Middle temporal gyrus;119;middle temporal gyrus
wm-rh-G_temp_sup-Lateral_aspect;Superior temporal gyrus;118;superior temporal gyrus
wm-rh-G_temp_sup-Planum_polare;Superior temporal gyrus;118;superior temporal gyrus
wm-rh-G_temp_sup-Planum_tempolare;Superior temporal gyrus;118;superior temporal gyrus
