Pc;paracentral nucleus of thalamus;rodent, carnivore, primate;Die::Th::Pc
PC;posterior commissure;rodent, carnivore, primate;MB::Tec::PC
PCS;precentral sulcus;primate;Tel::Cx::PCS
Pe;periventricular hypothalamic area;primate;<Null>
Pf;parafascicular nucleus of thalamus;rodent, carnivore, primate;Die::Th::Pf
PF;perifornical nuclei;primate;<Null>
PGr;pontine gray;rodent, carnivore, primate;Pons::PGr
PIN;pineal;rodent, carnivore, primate;Die::Epi::PIN
Pl;pulvinar;rodent, carnivore, primate;Die::Th::Pl
Pla;anterior nucleus of pulvinar;rodent, carnivore, primate;Die::Th::Pl::Pla
Pli;inferior nucleus of pulvinar;rodent, carnivore, primate;Die::Th::Pl::Pli
Plil;inferior nucleus of pulvinar, lateral division;primate;Die::Th::Pl::Plil
Plim;inferior nucleus of pulvinar, medial division;primate;Die::Th::Pl::Plim
Pll;lateral nucleus of pulvinar;rodent, carnivore, primate;Die::Th::Pl::Pll
Plm;medial nucleus of pulvinar;rodent, carnivore, primate;Die::Th::Pl::Plm
PM;premamillary nucleus;primate;<Null>
PMI;nucleus paramedianus internus thalami;avian;<Null>
Po;posterior nucleus of thalamus;rodent, carnivore, primate;Die::Th::Po
PO;nucleus preopticus;avian;<Null>
POA;preoptic area;rodent, carnivore, primate;Die::Hy::POA
PoCS;postcentral sulcus;primate;Tel::Cx::PoCS
Pons;pons;rodent, carnivore, primate;Pons
POS;parieto-occipital sulcus;primate;Tel::Cx::POS
PP;paleostriatum primitivum;avian;<Null>
PPC;nucleus principalis precommissuralis;avian;<Null>
PPH;nucleus prepositus hypoglossi;rodent, carnivore, primate;<Null>
PPN;peripeduncular nucleus;rodent, carnivore, primate;MB::PPN
PPT;pedunculopontine tegmental nucleus;rodent, carnivore, primate;Pons::PPT
PR;prerubral field;primate;<Null>
PRF;pontine reticular formation;rodent, carnivore, primate;Pons::PRF
Prg;pregeniculate (ventral lateral geniculate) nucleus;rodent, carnivore, primate;Die::VTh::Prg
PRh;perirhinal cortex;rodent, carnivore, primate;Tel::Cx::PRh
PRP;prepiriform cortex;rodent, carnivore, primate;Tel::PRP
PRS;principal sulcus;primate;Tel::Cx::PRS
PSB;presubiculum;rodent, carnivore, primate;Tel::Cx::PSB
Pt;parataenial nucleus of thalamus;rodent, carnivore, primate;Die::Th::Pt
PT;pretectum;rodent, carnivore, primate;MB::Tec::PT
PT;nucleus pretectalis;avian;<Null>
PTA;anterior pretectal nucleus;rodent, carnivore, primate;MB::Tec::PTA
PTO;pregeniculatus tecti optici;avian;<Null>
Pu;putamen;carnivore, primate;Tel::Pu
PVH;paraventricular nucleus of hypothalamus;avian;<Null>
PvT;paraventricular nucleus of thalamus;avian;<Null>
Py;pyramid;rodent, carnivore, primate;Me::Py
PyT;pyramidal tract;rodent, carnivore, primate;Me::PyT
PyX;pyramidal decussation;rodent, carnivore, primate;Me::PyX
QF;tractus quintofrontalis;avian;<Null>
R;reticular nucleus of thalamus;rodent, carnivore, primate;Die::VTh::R
RB;restiform body;rodent, carnivore, primate;<Null>
Rh;rhomboid (central) nucleus of thalamus;rodent, carnivore, primate;Die::Th::Rh
RN;red nucleus;rodent, carnivore, primate;MB::RN
RS;rhinal sulcus;carnivore, primate;Tel::Cx::RS
Rs;retrosplenial cortex;rodent, carnivore, primate;Tel::Cx::Rs
RS;nucleus reticularis superior;avian;<Null>
RSP;retrosplenium;primate, carnivore, rodent;<Null>
Rt;nucleus rotundus;avian;<Null>
RTP;reticulotegmental pontine nucleus;rodent, carnivore, primate;Pons::RTP
Ru;nucleus ruber;avian;<Null>
S1;primary somatosensory cortex;rodent;Tel::Cx::S1
S2;secondary somatosensory cortex;rodent;Tel::Cx::S2
Sb;subthalamic nucleus;rodent, carnivore, primate;Die::Sb
SB;subiculum;rodent, carnivore, primate;Tel::Cx::SB
SbCS;subcentral sulcus;primate;Tel::Cx::SbCS
SC;superior colliculus;rodent, carnivore, primate;MB::Tec::SC
SCAS;superior ramus of calcarine sulcus;primate;Tel::Cx::SCAS
SCD;deep layer of superior colliculus;rodent, carnivore, primate;MB::Tec::SCD
SCI;intermediate layer of superior colliculus;rodent, carnivore, primate;MB::Tec::SCI
SCN;suprachiasmatic nucleus;rodent, carnivore, primate, avian;Die::Hy::SCN
SCS;superficial layer of superior colliculus;rodent, carnivore, primate;MB::Tec::SCS
SCX;commissure of superior colliculus;rodent, carnivore, primate;MB::Tec::SC::SCX
SFN;septofimbrial nucleus;primate;<Null>
SG;suprageniculate nucleus of thalamus;rodent, carnivore, primate;Die::Th::SG
SHM;nucleus subhabenularis medialis;avian;<Null>
SHN;septohypothalamic nucleus;primate;<Null>
SI;substantia innominata;rodent, carnivore, primate;Tel::SI
SII;second somatosensory area of cerebral cortex;primate;Tel::Cx::SII
SL;nucleus septalis lateralis;avian;<Null>
SLN;lateral septal nucleus;rodent, carnivore, primate;Tel::Spt::SLN
SM;stria medullaris of thalamus;rodent, carnivore, primate;Die::SM
SM;nucleus septalis medialis;avian;<Null>
SMN;medial septal nucleus;rodent, carnivore, primate;Tel::Spt::SMN
SNc;pars compacta of substantia nigra;rodent, carnivore, primate;MB::SNc
SNr;pars reticulata of substantia nigra;rodent, carnivore, primate;MB::SNr
SOL;lateral superior olivary nucleus;rodent, carnivore, primate;Pons::SOL
SOM;medial superior olivary nucleus;rodent, carnivore, primate;Pons::SOM
